Excel Name,Excel Affiliation,Excel Country,Candidate ORCID,API Name,API Affiliation,API Country,Name Score,Affiliation Score,Country Match,Overall Score,Recommendation,Sources
Silvija Vlah Jerić,Sveuciliste U Zagrebu Ekonomski Fakultet,Croatia (HR),0000-0002-0323-5863,Silvija Vlah Jerić,,,100.0,0,No,40.0,NO_MATCH,ORCID
Silvija Vlah Jerić,Sveuciliste U Zagrebu Ekonomski Fakultet,Croatia (HR),0000-0001-9489-9990,Denis Dolinar,"Faculty of Economics & Business, University of Zagreb, Zagreb, Croatia",,38.7,45.9,No,31.6,NO_MATCH,Crossref
Silvija Vlah Jerić,Sveuciliste U Zagrebu Ekonomski Fakultet,Croatia (HR),0000-0002-0206-3422,Davor Zoričić,"Faculty of Economics & Business, University of Zagreb, Zagreb, Croatia",,25.8,45.9,No,26.4,NO_MATCH,Crossref
Vasile Strat,Academia De Studii Economice Din Bucuresti,Romania (RO),0000-0002-5074-1419,Vasile Alecsandru Strat,Bucharest University of Economic Studies,RO,68.6,56.3,No,47.1,NO_MATCH,"ORCID, OpenAlex"
Ania Zalewska,University of Leicester,United Kingdom (UK),0000-0002-8874-8149,Anna (Ania) Zalewska,"School of Management, University of Bath, Bath BA2 7AY, United Kingdom",,78.8,65.2,No,54.3,LOW_CONFIDENCE,Crossref
Alessia Paccagnini,University College Dublin,Ireland (IE),0000-0002-2421-7242,Alessia Paccagnini,University College Dublin,IE,100.0,100.0,No,75.0,MEDIUM_CONFIDENCE,"ORCID, OpenAlex, Crossref"
Alessia Paccagnini,University College Dublin,Ireland (IE),0000-0003-1605-0099,Alessia Paccagnini,,,100.0,0,No,40.0,NO_MATCH,ORCID
Alessia Paccagnini,University College Dublin,Ireland (IE),0009-0008-9606-7299,Alessia PACCAGNINI,,,100.0,0,No,40.0,NO_MATCH,ORCID
Shatha Qamhieh,,,0000-0002-4077-7477,Shatha Qamhieh Hashem,An-Najah National University,PS,80.0,0,No,32.0,NO_MATCH,"ORCID, OpenAlex, Crossref"
Shatha Qamhieh,,,0000-0003-2625-698X,Islam Abdeljawad,,,33.3,0,No,13.3,NO_MATCH,Crossref
Shatha Qamhieh,,,0000-0001-5261-6948,Veni Arakelian,"Department of Economic and Regional Development, Panteion University, Syggrou Avenue 136, 176 71 Athens, Greece",,21.4,0,No,8.6,NO_MATCH,Crossref
Dorin Cristian Coita,University of Oradea,Romania (RO),0000-0002-4813-4556,Claudia Diana Sabău-Popa,"Faculty of Economic Sciences, University of Oradea, 410087 Oradea, Romania",,40.9,100.0,No,51.4,LOW_CONFIDENCE,Crossref
Dorin Cristian Coita,University of Oradea,Romania (RO),0000-0001-6593-3547,Elena-Aurelia Botezat,"Faculty of Economic Sciences, Department of Management and Marketing, University of Oradea, 1 University Street, 410087 Oradea, Romania",,34.1,100.0,No,48.7,NO_MATCH,Crossref
Dorin Cristian Coita,University of Oradea,Romania (RO),0000-0001-6477-5778,Adela Laura Popa,"Faculty of Economic Sciences, Department of Management and Marketing, University of Oradea, 1 University Street, 410087 Oradea, Romania",,33.3,100.0,No,48.3,NO_MATCH,Crossref
Dorin Cristian Coita,University of Oradea,Romania (RO),0000-0001-8557-8570,Dorin-Cristian Coita,,,70.0,0,No,28.0,NO_MATCH,"ORCID, OpenAlex, Crossref"
Dorin Cristian Coita,University of Oradea,Romania (RO),0000-0001-5340-9393,Olimpia Ban,,,32.3,0,No,12.9,NO_MATCH,Crossref
NadiaConcetta Fabrizio,,,NO_CANDIDATES_FOUND,,,,,,,,NO_CANDIDATES,
Marc Wildi,Zurich University of Applied Sciences,Switzerland (CH),0009-0007-7865-533X,Marc Wildi,,,100.0,0,No,40.0,NO_MATCH,ORCID
Marc Wildi,Zurich University of Applied Sciences,Switzerland (CH),0000-0003-3576-3289,Nils Bundi,,,30.0,0,No,12.0,NO_MATCH,Crossref
yi wang,University Of Bedfordshire,United Kingdom (UK),0000-0002-8023-2586,Yi Wang,Guizhou Minzu University,CN,100.0,58.8,No,60.6,LOW_CONFIDENCE,OpenAlex
yi wang,University Of Bedfordshire,United Kingdom (UK),0000-0001-9921-0304,Yi Wang,Central South University,CN,100.0,58.8,No,60.6,LOW_CONFIDENCE,OpenAlex
yi wang,University Of Bedfordshire,United Kingdom (UK),0000-0001-6154-945X,Yi Wang,Northwestern Polytechnical University,CN,100.0,55.6,No,59.4,LOW_CONFIDENCE,OpenAlex
yi wang,University Of Bedfordshire,United Kingdom (UK),0000-0001-5697-0717,Yì Wáng,Children's Hospital of Fudan University,CN,100.0,55.6,No,59.4,LOW_CONFIDENCE,OpenAlex
